date,region,course,off,race_name,type,class,pattern,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment,merge_key
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,1.0,1,5.0,0,0,fiery pegasus,3,F,132,,2:41.65,161.65,1.4,R Fourie,J A Soma,19887.57,–,–,Captain Of All (SAF),Scorched (SAF),Jet Master,J R Blumberg D Chinsammy Et Al,,turffontein (saf)_fiery pegasus_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,2.0,2,4.0,0.05,0.05,world of alice,3,F,132,,2:41.66,161.66,5.0,Craig Zackey,S G Tarry,6364.02,–,–,One World (SAF),Alice Springs (AUS),Hussonet,Itssa It Business Solutions Pty Ltd,,turffontein (saf)_world of alice_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,7.0,3,1.0,2.25,2.25,cocomelon,3,F,132,p,2:42.10,162.10,21.0,Gavin Lerena,S G Tarry,3182.01,–,–,Willow Magic (AUS),Cape Orchid (SAF),Greys Inn,M A Currie A Lahoud Et Al,,turffontein (saf)_cocomelon_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,5.0,4,7.0,2.5,0.3,hats queen,3,F,132,,2:42.15,162.15,51.0,Calvin Habib,Tony Peter,1591.01,–,–,Hat Puntano (ARG),Princess Varunya (AUS),High Chaparral,Jaime Mrs Mariza Vilela,,turffontein (saf)_hats queen_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,6.0,5,9.0,4,1.5,todoque,3,F,132,,2:42.45,162.45,41.0,R A Venniker,P F Matchett,795.50,–,–,Erupt (IRE),All Mine (SAF),Var,M J Kapnias A M Kapnias,,turffontein (saf)_todoque_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,3.0,6,3.0,7.25,3.25,gerbera,3,F,132,h,2:43.10,163.10,34.0,Ryan Munger,S G Tarry,,–,–,One World (SAF),Barberton Daisy (SAF),Western Winter,Drakenstein Stud,,turffontein (saf)_gerbera_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,11.0,7,6.0,14.25,7,party punch,3,F,132,,2:44.50,164.50,126.0,R Danielson,Phillip Labuschagne,,–,–,New Predator (AUS),My Celebration (SAF),Jet Master,E Blome,,turffontein (saf)_party punch_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,8.0,8,10.0,14.75,.5,ancient wisdom,3,F,132,b,2:44.60,164.60,51.0,K Matsunyane,Tony Peter,,–,–,Ideal World (USA),Guest Of Honour (SAF),Western Winter,Adv A P Joubert,,turffontein (saf)_ancient wisdom_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,10.0,9,2.0,15.75,1,the mightiest,3,F,132,,2:44.80,164.80,126.0,K J Lihaba,W H Marwing,,–,–,Captain Of All (SAF),Fortissimus (SAF),Mogok,Q H A Koekemoer,,turffontein (saf)_the mightiest_2025-03-29_2:50
2025-03-29,SAF,turffontein (saf),2:50,Wilgerbosdrift Bridget Oppenheimer SA Oaks  (3yo Fillies) (Turf),Flat,,Grade 2,,3yo,F,1m4f,12f,2400.0,Good,11,4.0,10,8.0,17.25,1.5,care forgot,3,F,132,,2:45.10,165.10,34.0,Smanga Khumalo,B D Botes,,–,–,The United States (IRE),Love Unlimited (IRE),Hawk Wing,L M Michael,,turffontein (saf)_care forgot_2025-03-29_2:50
